time,open,high,low,close,tick_volume,spread,real_volume
2023-07-13 15:05:00+00:00,120905.0,120955.0,120890.0,120935.0,22160,5,73789
2023-07-13 15:10:00+00:00,120935.0,120960.0,120895.0,120925.0,19920,5,64141
2023-07-13 15:15:00+00:00,120925.0,120975.0,120875.0,120885.0,26397,5,88423
2023-07-13 15:20:00+00:00,120885.0,120925.0,120825.0,120890.0,31625,5,98977
2023-07-13 15:25:00+00:00,120890.0,120920.0,120825.0,120885.0,23348,5,74655
2023-07-13 15:30:00+00:00,120890.0,120900.0,120740.0,120770.0,33044,5,108425
2023-07-13 15:35:00+00:00,120765.0,120815.0,120640.0,120685.0,46208,5,163764
2023-07-13 15:40:00+00:00,120690.0,120745.0,120595.0,120630.0,39855,5,148472
2023-07-13 15:45:00+00:00,120625.0,120665.0,120535.0,120615.0,44756,5,149030
2023-07-13 15:50:00+00:00,120615.0,120690.0,120530.0,120610.0,41153,5,143158
2023-07-13 15:55:00+00:00,120615.0,120690.0,120600.0,120665.0,22302,5,75280
2023-07-13 16:00:00+00:00,120665.0,120685.0,120630.0,120670.0,15881,5,50551
2023-07-13 16:05:00+00:00,120670.0,120735.0,120655.0,120720.0,27963,5,96766
2023-07-13 16:10:00+00:00,120715.0,120745.0,120685.0,120725.0,19736,5,71885
2023-07-13 16:15:00+00:00,120720.0,120745.0,120680.0,120725.0,19876,5,68035
2023-07-13 16:20:00+00:00,120730.0,120770.0,120705.0,120730.0,18660,5,62949
2023-07-13 16:25:00+00:00,120730.0,120795.0,120710.0,120735.0,23044,5,79669
2023-07-13 16:30:00+00:00,120735.0,120750.0,120600.0,120705.0,43295,5,150455
2023-07-13 16:35:00+00:00,120710.0,120760.0,120680.0,120710.0,20855,5,73713
2023-07-13 16:40:00+00:00,120715.0,120765.0,120680.0,120735.0,23756,5,85689
2023-07-13 16:45:00+00:00,120735.0,120745.0,120685.0,120740.0,17821,5,75293
2023-07-13 16:50:00+00:00,120740.0,120745.0,120635.0,120660.0,26652,5,106037
